epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_video_roc_auc
1,4.000000000000001e-06,0.1082508420024071,0.7132502543234995,0.5203800383042085,0.7951579026329608,0.8562744860454784,0.8245852861671302,0.5488648461266656,0.09659185651618402,0.7804946011842564,0.5042301718918634,0.7914027471354352,0.9805996472663139,0.8759009097711787,0.5628230101696106,0.5344827586206896
2,2.2000000000000003e-05,0.06758015869765155,0.855655518819939,0.7297760536384559,0.8775514015201031,0.9490265772679538,0.911890554504439,0.8432762252971258,0.15666126326915072,0.5818878439568095,0.6425912764221222,0.8889536578257068,0.5379188712522046,0.6702560158224371,0.7220279554607913,0.7266009852216748
3,4e-05,0.04378477235382474,0.9243228636826043,0.8610504871049283,0.9350962473264631,0.9712612339695041,0.9528357026103322,0.9311585038152908,0.29979712689008003,0.39407871821664925,0.593358603806365,0.9371277299801456,0.24973544973544973,0.3943740426124495,0.7508314687585003,0.7576970443349753
4,3.987738809291823e-05,0.03644463508238301,0.9410923194303153,0.8871866650363938,0.9460738490301472,0.9810768236529607,0.9632574555837563,0.947925416388358,0.2708492615322791,0.5012887495646117,0.6518413224880887,0.943372216330859,0.3922398589065256,0.5540952974151354,0.784415459445863,0.810960591133005
5,3.951109428754556e-05,0.03204487358804485,0.9500413275686673,0.902707140052719,0.9529577244666719,0.9851560133292941,0.9687894104445747,0.9579331804839707,0.24555179780937578,0.5278996865203762,0.6640580167943352,0.941040015464914,0.4292768959435626,0.5895960758190517,0.7874135787845019,0.8118842364532021
6,3.8905724941013165e-05,0.02916314648341156,0.9551595879959308,0.9113217761438751,0.9567454417403553,0.9876805008583257,0.9719668889308463,0.9640249661848317,0.2933340192336793,0.5228840125391849,0.6642922951380663,0.9450941526263628,0.4204585537918871,0.581995727799817,0.7881425324874745,0.8186576354679802
7,3.8068892924097166e-05,0.027325142230857486,0.9583227365208545,0.9156841536106419,0.958448211806574,0.9899622321410538,0.9739503646154151,0.9672107438474021,0.3706593983921179,0.4511320097526994,0.6337308168153939,0.9588968443383717,0.31887125220458556,0.47859175435113505,0.7846413727950489,0.8334359605911329
8,3.7011121884951535e-05,0.02609160103165333,0.9596420396744659,0.9186989953617257,0.9599741516047545,0.990003635041803,0.974757667644281,0.9702243913844015,0.34576869009004907,0.48150470219435737,0.6505198873358078,0.9587944431363316,0.35908289241622576,0.5224866876243023,0.7869634484836254,0.8288177339901478
9,3.574571390812658e-05,0.024597456022298354,0.9630118260427264,0.9237701407828174,0.9620875354939783,0.9921042003231018,0.9768653377740221,0.9731870890356261,0.4124890318109895,0.45357018460466736,0.6366132301455685,0.9619450317124736,0.32098765432098764,0.48135413911663577,0.7850407574122333,0.8266625615763548
10,3.4288582233137673e-05,0.023356822776581642,0.9648874618514751,0.9275967145787285,0.963912369819758,0.9925478633169077,0.9780205566003004,0.9750884297533718,0.4097513512955107,0.4647161267850923,0.6402590223485746,0.957,0.33756613756613757,0.4990873533246415,0.7773170596166727,0.8220443349753694
11,3.26580511362453e-05,0.022667010292261158,0.9654437945066124,0.9285491259181049,0.9643375573776923,0.992810404717667,0.9783668676736919,0.9765666437619592,0.4569421731821806,0.46736328805294325,0.645586880412751,0.9643036701860231,0.33827160493827163,0.5008486747617182,0.7823795777140166,0.8266625615763546
