epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_video_roc_auc
1,4.000000000000001e-06,0.09881070693755865,0.7626366988809766,0.5454616895403872,0.8039477615875416,0.9236843168140878,0.8596667637744219,0.6105845055910426,0.09836318606970743,0.7407175200278648,0.5307957566664034,0.8015835312747427,0.8927689594356261,0.8447225698790155,0.6084572727192961,0.5945197044334976
2,2.2000000000000003e-05,0.06357450531331381,0.8691823499491353,0.7546781058019956,0.8880117288823729,0.954115841344212,0.9198777234759244,0.8611777314949168,0.15122791528701782,0.576105886450714,0.6375924609755456,0.8863402440817527,0.5315696649029983,0.6645719640593133,0.7208015185682406,0.7318349753694582
3,4e-05,0.04340547164437851,0.9260713377416073,0.8615623371741347,0.934863523573201,0.9739270928001615,0.9539955884825765,0.9306815002290147,0.24756444519828813,0.44834552420759316,0.615896706941483,0.9281602002503129,0.326984126984127,0.48359960873818064,0.761629272801191,0.7798645320197044
4,3.987738809291823e-05,0.036915059228421074,0.9409333672431333,0.885479304703872,0.9450404228855721,0.9820664027788998,0.9631977181792972,0.9458297013809713,0.22456070938770756,0.5215604319052595,0.6533496538471663,0.9306625577812019,0.42610229276895945,0.5845632712315509,0.7796147715274304,0.8029556650246304
5,3.951109428754556e-05,0.03244519332188844,0.9477206256358087,0.8978570833811115,0.9506336517839735,0.9847117035241846,0.9673726501661625,0.9567298141679449,0.21065640974723682,0.5467781260884709,0.6666324462344363,0.9317613433369061,0.4599647266313933,0.6158932577636085,0.7828518781752614,0.812192118226601
6,3.8905724941013165e-05,0.030150117095141073,0.9521553916581892,0.9046218680233873,0.953450730318454,0.9874179541553064,0.9701371113359922,0.9616292442906539,0.2822692988180234,0.5207941483803553,0.6593171707599568,0.9395073891625616,0.4204585537918871,0.5809320743222662,0.7834505602498968,0.8214285714285714
7,3.8068892924097166e-05,0.028150847394612457,0.957369023397762,0.913173001956739,0.9571464828878781,0.9901641993011936,0.9733754243850139,0.9649035445073813,0.28372459480703105,0.515778474399164,0.6585774829555924,0.9421720733427362,0.4123456790123457,0.5736367539716616,0.7838825566465146,0.8257389162561576
8,3.7011121884951535e-05,0.02699654507803677,0.9578776703967447,0.9147459786192864,0.9580173559534048,0.9898622723050204,0.9736795057706443,0.9683503807222757,0.2743543862872207,0.5390456287008011,0.6681907920713891,0.9388589481509013,0.4455026455026455,0.6042700795406972,0.7891635590419449,0.8288177339901478
9,3.574571390812658e-05,0.02568394303147038,0.9603891149542217,0.9189444473396217,0.9598685754517718,0.9911147011308562,0.9752414259031117,0.9704574692134093,0.42552439914850854,0.47802159526297455,0.6451499118165784,0.9526947517062838,0.35696649029982364,0.5193405606517417,0.7817584914931515,0.8288177339901478
10,3.4288582233137673e-05,0.02454690958218344,0.9628528738555443,0.9230097568409652,0.9616250171229526,0.9924064948703449,0.976773308685411,0.9729106362608866,0.4436797857701062,0.44841518634622085,0.6292110874200426,0.9528851244044468,0.31746031746031744,0.47625347268157164,0.7732839038201117,0.8238916256157636
