epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_video_roc_auc
1,1e-05,0.6947023183107376,0.565625,0.5128638724483634,0.7686375321336761,0.6139630390143738,0.682648401826484,0.5058649058528272,0.6508955866098404,0.75,0.581109162932658,0.8454198473282443,0.8486590038314177,0.847036328871893,0.6021332554061951,0.6666666666666667
2,0.0001,0.41174694060491035,0.8293171414038657,0.676422308166556,0.8551616744526884,0.9428005897679304,0.8968452197971103,0.7585682964845031,0.738970781402362,0.5994427028909788,0.6639290320882361,0.9023898646703139,0.5527336860670194,0.6855517882533085,0.7365477141043753,0.7370689655172413
3,0.0001,0.35552363638839063,0.8546541200406917,0.735837695394856,0.8809110465335699,0.9427861701268276,0.9107989464442493,0.8038268350442074,0.7634842463878337,0.5728317659352142,0.6692437284477086,0.92,0.5029982363315697,0.650399087799316,0.7642123304699314,0.7955665024630542
4,0.0001,0.3443575703054818,0.8579762207527976,0.7440631134156721,0.884670066157375,0.9424273021001616,0.9126357885267862,0.8077393394749692,0.8265514392048919,0.5396029258098224,0.6588038642765011,0.9262930257704091,0.4532627865961199,0.6086802060512759,0.7597257100739687,0.7921798029556651
5,0.0001,0.3299033129369861,0.8653992878942014,0.759438876797534,0.891376482703383,0.9440158339055621,0.9169413057124921,0.8211438755384529,0.9653350469834379,0.47175200278648555,0.6297375556082023,0.9321371060501495,0.35731922398589067,0.5166061069675528,0.748363151906546,0.7792487684729064
